counter,method,user,system,elapsed,mse
2,xgbLinear,181.82,135.08,177.22,18.56309102
5,cubist,11.25,0.87,12.6,33087146.5
21,xgbTree,109.28,81.6,107.81,88888655.43
17,qrf,18.5,0.62,19.81,130846117.7
1,xgbDART,482.46,316.5,445.72,143438289.7
36,bstTree,89.53,1.07,91.58,356955931.8
34,RRF,234.36,0.38,235.06,619145196.3
38,blackboost,146.96,2.42,152.11,1003394709
22,Rborist,182.28,157.83,247.13,1103253187
26,ranger,36.22,0.67,6.63,1254429690
30,RRFglobal,41.45,0.87,43.04,1270101772
27,parRF,15.93,0.81,17.03,1358217158
29,rf,14.86,0.02,14.89,1358962972
3,ppr,2.91,0.04,2.94,1596765617
9,monmlp,36.96,1.36,39.07,1605303773
39,gbm,2.91,0.02,2.94,1868053980
19,bagEarthGCV,17.14,8.79,26,2937002529
42,kknn,3.49,2.25,7.47,3049006047
20,bagEarth,37.62,24.17,61.86,3105732289
6,glm,0.59,0.01,0.61,3431299121
7,lm,0.56,0,0.56,3431299121
14,lars,0.78,0,0.79,3466856623
32,gcvEarth,1.05,0.23,1.28,3489107397
28,nnls,0.51,0,0.52,3658005300
72,rvmRadial,2.8,0.02,2.81,3855100290
12,lars2,0.9,0,0.9,3939394520
10,glmStepAIC,146.94,0.41,147.09,4142379482
11,lmStepAIC,84.64,0.02,84.78,4142379482
16,glmnet,2.15,0.99,3.68,4293522654
4,gamLoess,3.41,0.92,5.01,4532932525
31,earth,1.94,0.22,2.15,4779764426
23,glmboost,2.4,2.02,7.02,4958122141
18,penalized,11.92,2.38,17.41,5239327928
8,foba,4.28,0.73,5.24,8515599333
71,rqlasso,1.01,0.01,1.03,8701728963
13,rqnc,61.34,1.23,64.99,8808834365
41,treebag,3.58,0,3.58,8914078493
43,evtree,45.78,1.05,47.58,9904234423
44,rpart1SE,0.75,0,0.75,10901577387
78,svmLinear3,12.81,0.83,14.18,11196095322
79,svmPoly,2461.21,0.16,2468.25,12956795968
45,rpart2,0.88,0,0.88,15708072443
46,icr,2.75,0.8,4.03,20573681991
55,BstLm,2.46,0.01,2.51,25746399474
57,knn,0.56,0.03,0.6,35302192798
68,gaussprRadial,0.98,0.01,1,39209734154
47,rpart,0.81,0.06,0.86,40548153020
48,partDSA,14.64,0.8,16.04,40548153020
51,kernelpls,0.63,0.01,0.64,47720853028
52,pls,0.62,0,0.62,47720853028
53,simpls,0.62,0,0.62,47720853028
54,widekernelpls,1.05,0,1.05,47720853028
33,msaenet,28.36,1.08,30.7,49384413778
56,pcr,0.67,0,0.67,50166600391
37,leapBackward,1.94,0.77,3.4,51067362235
49,leapForward,0.59,0,0.6,51067362235
50,leapSeq,0.6,0,0.59,51067362235
60,xyf,16.31,1.14,18.11,61387951680
62,null,0.5,0.03,0.51,85820611424
69,dnn,27.4,0.83,28.58,85821905965
65,mlp,4.69,0.05,4.75,88442924969
64,mlpWeightDecayML,18.97,1.08,21.17,88840933838
66,rfRules,262.74,1.69,266.41,90391152913
58,svmRadial,2.06,0.32,2.5,91198566525
61,svmRadialSigma,2.16,0,2.16,91198764021
59,svmRadialCost,1.08,0,1.08,91198975060
70,mlpML,4.83,0.03,4.88,1.79273E+11
73,avNNet,5.4,0.08,5.48,3.38432E+11
74,nnet,2.48,0.01,2.56,3.38432E+11
75,pcaNNet,4.31,0.02,4.45,3.38432E+11
77,rbfDDA,9.17,0.03,9.3,3.38433E+11
67,mlpWeightDecay,17.94,0.05,18.08,9.95382E+11
35,relaxo,3.65,0.59,4.91,3.65009E+12
